Xnom,Ynom,Znom,Upos,Xmeas,Ymeas,Zmeas
31.389200,-3.642500,8.717600,0.000000,75.069708,65.382735,-105.256337,
30.629000,-7.171300,-0.017500,0.000000,78.938692,64.047236,-113.776808,
11.134400,-7.145000,0.119000,0.000000,79.519429,44.637891,-112.061397,
-0.617800,-8.346500,0.248600,0.000000,81.082502,32.980237,-110.936044,
-1.773800,-4.354500,8.701800,0.000000,76.824845,32.367500,-102.560702,
-1.470100,4.765100,8.711900,0.000000,67.705246,32.359005,-102.884209,
31.645400,3.601500,8.718600,-30.000000,65.837935,65.378437,-108.443868,
31.389200,-3.642500,8.717600,-30.000000,71.980639,65.384571,-104.592624,
30.629000,-7.171300,-0.017500,-30.000000,79.590844,64.055836,-110.036395,
11.134400,-7.145000,0.119000,-30.000000,79.265553,44.648033,-108.235908,
-0.617800,-8.346500,0.248600,-30.000000,80.079061,32.989403,-106.463473,
-1.773800,-4.354500,8.701800,-30.000000,72.200640,32.375116,-101.339420,
-1.470100,4.765100,8.711900,-30.000000,64.462236,32.346193,-106.177633,
31.178200,9.747500,0.392700,30.000000,61.738503,64.068625,-108.412098,
31.645400,3.601500,8.718600,30.000000,71.014928,65.392952,-103.994147,
31.389200,-3.642500,8.717600,30.000000,77.421111,65.372685,-107.388727,
-1.773800,-4.354500,8.701800,30.000000,80.219764,32.350646,-105.932380,
-1.470100,4.765100,8.711900,30.000000,72.162774,32.358430,-101.653201,
-0.054700,10.754400,0.658000,30.000000,63.027121,32.937526,-106.006769,
11.919900,10.070000,0.567000,30.000000,62.798132,44.879442,-107.058757,
31.645400,3.601500,8.718600,-60.000000,65.570213,65.367380,-111.941193,
31.389200,-3.642500,8.717600,-60.000000,68.968307,65.384842,-105.537066,
30.629000,-7.171300,-0.017500,-60.000000,78.281712,64.068818,-106.450204,
11.134400,-7.145000,0.119000,-60.000000,77.130805,44.661374,-105.036900,
-0.617800,-8.346500,0.248600,-60.000000,76.969637,33.003046,-103.084350,
-1.773800,-4.354500,8.701800,-60.000000,67.585355,32.373890,-102.581895,
-1.470100,4.765100,8.711900,-60.000000,63.302236,32.335686,-110.639365,
31.178200,9.747500,0.392700,60.000000,64.284944,64.083613,-103.458399,
31.645400,3.601500,8.718600,60.000000,74.531088,65.385647,-104.267649,
31.389200,-3.642500,8.717600,60.000000,78.382751,65.359558,-110.410316,
-1.773800,-4.354500,8.701800,60.000000,81.474493,32.330596,-110.549962,
-1.470100,4.765100,8.711900,60.000000,76.634581,32.342520,-102.813054,
-0.054700,10.754400,0.658000,60.000000,66.545877,32.949415,-102.022585,
11.919900,10.070000,0.567000,60.000000,65.844447,44.891397,-102.817530,
31.178200,9.747500,0.392700,90.000000,68.969774,64.088447,-100.444601,
31.645400,3.601500,8.718600,90.000000,77.440934,65.374792,-106.266534,
31.389200,-3.642500,8.717600,90.000000,77.705855,65.348123,-113.511602,
-1.773800,-4.354500,8.701800,90.000000,80.248660,32.316124,-115.179640,
-1.470100,4.765100,8.711900,90.000000,79.925700,32.327678,-106.059640,
-0.054700,10.754400,0.658000,90.000000,71.585564,32.947943,-100.330240,
11.919900,10.070000,0.567000,90.000000,70.603603,44.894183,-100.669306,
